LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;sfc;sfc;sfc;10 m above gnd;10 m above gnd;2 m above gnd;2 m above gnd;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation;Snowfall amount;Total cloud cover;Wind speed;Wind direction;Temperature;Temperature;Total cloud cover;Total cloud cover;Wind speed;Wind speed
UNIT;;;;;°C;mm;cm;%;km/h;°;°C;°C;%;%;km/h;km/h
AGGREGATION;;;;;daily mean;daily sum;daily sum;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Total Precipitation daily sum [sfc];Snowfall amount daily sum [sfc];Total cloud cover daily mean [sfc];Wind speed daily mean [10 m above gnd];Wind direction daily mean [10 m above gnd];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Total cloud cover daily max [sfc];Total cloud cover daily min [sfc];Wind speed daily max [10 m above gnd];Wind speed daily min [10 m above gnd]
2007;11;22;00;00;9.16;13.70;0.00;99.54;3.15;113.77;12.32;7.07;100.00;89.00;5.30;0.63
2007;11;23;00;00;9.81;14.70;0.00;100.00;4.27;201.92;12.69;8.61;100.00;100.00;6.78;1.77
2007;11;24;00;00;7.31;1.40;0.00;100.00;10.44;68.10;9.23;6.08;100.00;100.00;13.27;5.17
2007;11;25;00;00;4.98;1.30;0.00;100.00;13.80;254.37;6.10;4.09;100.00;100.00;21.20;5.48
2007;11;26;00;00;4.73;1.30;0.00;73.71;16.83;271.01;6.15;3.18;100.00;12.00;19.68;10.94
2007;11;27;00;00;3.85;0.00;0.00;53.83;5.42;177.35;6.09;1.08;100.00;0.00;9.89;1.50
2007;11;28;00;00;3.31;0.00;0.00;58.33;4.55;88.03;7.46;0.63;100.00;0.00;6.35;2.01
2007;11;29;00;00;3.59;0.00;0.00;36.77;8.44;224.34;7.77;0.17;100.00;0.00;12.09;4.73
2007;11;30;00;00;6.15;1.60;0.00;92.12;10.68;239.92;8.82;4.40;100.00;36.00;15.82;7.02
2007;12;01;00;00;7.32;1.70;0.00;98.12;13.78;233.88;12.25;3.09;100.00;55.00;21.00;7.05
2007;12;02;00;00;7.98;2.50;0.00;74.38;26.93;233.56;11.26;4.17;100.00;14.00;55.00;17.76
2007;12;03;00;00;7.56;11.20;0.00;100.00;39.09;254.64;9.35;6.54;100.00;100.00;54.54;24.50
2007;12;04;00;00;7.08;6.10;0.00;100.00;24.84;261.95;8.49;6.28;100.00;100.00;41.24;12.04
2007;12;05;00;00;8.13;0.00;0.00;59.23;8.80;206.52;12.95;4.98;100.00;0.00;12.74;6.66
2007;12;06;00;00;9.15;1.40;0.00;100.00;18.80;240.71;11.20;5.82;100.00;100.00;32.16;13.99
2007;12;07;00;00;9.02;4.30;0.00;100.00;29.09;237.59;11.14;7.68;100.00;100.00;39.50;15.89
2007;12;08;00;00;6.29;1.40;0.00;82.17;22.12;249.15;7.71;5.29;100.00;10.00;35.07;15.46
2007;12;09;00;00;7.28;3.70;0.00;91.96;23.95;220.30;10.26;5.40;100.00;14.00;39.20;12.69
2007;12;10;00;00;6.61;13.20;0.00;100.00;29.90;247.06;7.94;5.95;100.00;100.00;43.33;20.73
2007;12;11;00;00;5.74;8.50;0.00;100.00;13.11;289.52;7.06;4.87;100.00;100.00;18.42;10.59
2007;12;12;00;00;4.49;0.80;0.00;100.00;9.52;171.24;6.26;3.30;100.00;100.00;11.06;7.70
2007;12;13;00;00;4.43;0.00;0.00;100.00;15.30;53.89;6.94;2.99;100.00;100.00;24.71;10.07
2007;12;14;00;00;2.57;0.00;0.00;83.54;9.79;59.43;3.87;1.19;100.00;10.00;13.19;6.49
2007;12;15;00;00;0.33;0.00;0.00;55.00;16.13;67.66;2.70;-2.43;100.00;0.00;33.73;9.29
2007;12;16;00;00;-0.50;0.00;0.00;88.83;15.22;62.73;2.78;-3.09;100.00;9.00;18.88;9.61
2007;12;17;00;00;-1.04;0.00;0.00;98.00;14.95;70.98;0.18;-2.09;100.00;81.00;17.78;6.32
2007;12;18;00;00;-1.61;0.00;0.00;52.79;5.78;72.43;1.33;-3.34;100.00;0.00;8.48;3.76
2007;12;19;00;00;-0.64;0.00;0.00;0.00;3.51;87.54;4.48;-4.06;0.00;0.00;4.62;2.35
2007;12;20;00;00;0.68;0.00;0.00;0.00;3.48;109.13;5.49;-2.42;0.00;0.00;4.32;1.92
2007;12;21;00;00;1.14;0.00;0.00;20.64;3.25;121.60;6.72;-2.99;100.00;0.00;4.87;0.51
2007;12;22;00;00;1.63;0.00;0.00;45.89;3.30;169.74;7.34;-2.55;100.00;0.00;4.94;0.70
2007;12;23;00;00;2.74;0.00;0.00;30.90;1.75;156.61;8.10;-0.58;100.00;0.00;2.71;0.66
2007;12;24;00;00;1.61;0.00;0.00;54.21;1.88;135.12;7.13;-1.61;100.00;0.00;2.76;0.54
2007;12;25;00;00;1.50;0.00;0.00;72.79;4.23;128.72;6.82;-1.99;100.00;0.00;5.04;3.19
